Date,Price,Open,High,Low,Vol.,Change %,,459.25%,-398.54%,,,,,
9/5/2023,256.49,245,258,244.86,128.78M,4.69%,0.17%,4.69%,0.00%,,,,,0.17%
9/1/2023,245.01,257.26,259.08,242.01,132.54M,-5.06%,0.16%,0.00%,-5.06%,,,,,0.16%
8/31/2023,258.08,255.98,261.18,255.05,108.14M,0.46%,0.15%,0.46%,0.00%,,,,,0.15%
8/30/2023,256.9,254.2,260.51,250.59,121.66M,-0.11%,0.10%,0.00%,-0.11%,,,,,0.10%
8/29/2023,257.18,238.58,257.48,237.77,133.13M,7.69%,0.10%,7.69%,0.00%,,,,,0.10%
8/28/2023,238.82,242.58,244.38,235.35,107.29M,0.10%,0.10%,0.10%,0.00%,,,,,0.10%
8/25/2023,238.59,231.31,239,230.35,106.61M,3.72%,0.07%,3.72%,0.00%,,,,,0.07%
8/24/2023,230.04,238.66,238.92,228.18,99.19M,-2.88%,0.04%,0.00%,-2.88%,,,,,0.04%
8/23/2023,236.86,229.34,238.98,229.29,98.61M,1.57%,-0.02%,1.57%,0.00%,,,,,0.00%
8/22/2023,233.19,240.25,240.82,229.55,130.23M,0.83%,-0.03%,0.83%,0.00%,,,,,0.00%
8/21/2023,231.28,221.55,232.13,220.58,134.51M,7.33%,-0.04%,7.33%,0.00%,,,,,0.00%
8/18/2023,215.49,214.12,217.58,212.36,136.28M,-1.70%,-0.08%,0.00%,-1.70%,,,,,0.00%
8/17/2023,219.22,226.06,226.74,218.83,119.13M,-2.83%,-0.11%,0.00%,-2.83%,,,,,0.00%
8/16/2023,225.6,228.02,233.97,225.38,111.54M,-3.16%,-0.13%,0.00%,-3.16%,,,,,0.00%
8/15/2023,232.96,238.73,240.5,232.61,87.34M,-2.84%,-0.17%,0.00%,-2.84%,,,,,0.00%
8/14/2023,239.76,235.7,240.66,233.75,98.60M,-1.19%,-0.18%,0.00%,-1.19%,,,,,0.00%
8/11/2023,242.65,241.77,243.79,238.02,99.04M,-1.10%,-0.22%,0.00%,-1.10%,,,,,0.00%
8/10/2023,245.34,245.4,251.8,243,109.04M,1.30%,-0.24%,1.30%,0.00%,,,,,0.00%
8/9/2023,242.19,250.87,251.1,241.9,99.98M,-3.01%,-0.25%,0.00%,-3.01%,,,,,0.00%
8/8/2023,249.7,247.45,250.92,245.01,96.36M,-0.70%,-0.25%,0.00%,-0.70%,,,,,0.00%
8/7/2023,251.45,251.45,253.65,242.76,111.10M,-0.95%,-0.30%,0.00%,-0.95%,,,,,0.00%
8/4/2023,253.86,260.97,264.77,253.11,99.54M,-2.11%,-0.31%,0.00%,-2.11%,,,,,0.00%
8/3/2023,259.32,252.04,260.49,252,96.95M,2.05%,-0.32%,2.05%,0.00%,,,,,0.00%
8/2/2023,254.11,255.57,259.52,250.49,100.98M,-2.67%,-0.33%,0.00%,-2.67%,,,,,0.00%
8/1/2023,261.07,266.26,266.47,260.25,82.50M,-2.38%,-0.35%,0.00%,-2.38%,,,,,0.00%
7/31/2023,267.43,267.48,269.08,263.78,84.27M,0.37%,-0.35%,0.37%,0.00%,,,,,0.00%
7/28/2023,266.44,259.86,267.25,258.23,111.45M,4.20%,-0.36%,4.20%,0.00%,,,,,0.00%
7/27/2023,255.71,268.31,269.13,255.3,103.70M,-3.27%,-0.43%,0.00%,-3.27%,,,,,0.00%
7/26/2023,264.35,263.25,268.04,261.75,95.86M,-0.35%,-0.43%,0.00%,-0.35%,,,,,0.00%
7/25/2023,265.28,272.38,272.9,265,112.76M,-1.40%,-0.48%,0.00%,-1.40%,,,,,0.00%
7/24/2023,269.06,255.85,269.85,254.12,137.01M,3.48%,-0.50%,3.48%,0.00%,,,,,0.00%
7/21/2023,260.02,268,268,255.8,161.80M,-1.10%,-0.52%,0.00%,-1.10%,,,,,0.00%
7/20/2023,262.9,279.56,280.93,261.2,175.16M,-9.74%,-0.56%,0.00%,-9.74%,,,,,0.00%
7/19/2023,291.26,296.04,299.29,289.52,142.36M,-0.71%,-0.60%,0.00%,-0.71%,,,,,0.00%
7/18/2023,293.34,290.15,295.26,286.01,111.59M,1.02%,-0.63%,1.02%,0.00%,,,,,0.00%
7/17/2023,290.38,286.63,292.23,283.57,130.18M,3.20%,-0.70%,3.20%,0.00%,,,,,0.00%
7/14/2023,281.38,277.01,285.3,276.31,120.06M,1.25%,-0.71%,1.25%,0.00%,,,,,0.00%
7/13/2023,277.9,274.59,279.45,270.6,112.68M,2.17%,-0.74%,2.17%,0.00%,,,,,0.00%
7/12/2023,271.99,276.32,276.52,271.46,95.67M,0.82%,-0.76%,0.82%,0.00%,,,,,0.00%
